#separator:tab
#html:false
#columns:Simplified	Traditional	Pinyin	POS	English	Tags
#tags column:6
照……(的)说法	照……(的)說法	zhào . . . (de) shuōfǎ	ph.	according to . . .	book::L04 L04::dialogue vocab unit::Family_Language
官方	官方	guānfāng	adj.	official	book::L04 L04::dialogue vocab unit::Family_Language
包括	包括	bāokuò	v.	include; comprise	book::L04 L04::dialogue vocab unit::Family_Language
词汇	詞彙	cíhuì	n.	vocabulary	book::L04 L04::dialogue vocab unit::Family_Language
语法	語法	yǔfǎ	n.	grammar	book::L04 L04::dialogue vocab unit::Family_Language
鸡同鸭讲	雞同鴨講	jītóngyājiǎng	ph.	Individuals have difficulty communicating with each other, like a chicken talking to a duck.	book::L04 L04::dialogue vocab unit::Family_Language
根本(不/没有)	根本(不/沒有)	gēnběn (bù/méiyǒu)	adv.	not at all; absolutely not	book::L04 L04::dialogue vocab unit::Family_Language
闹笑话	鬧笑話	nào xiàohua	v.o.	make a fool of oneself	book::L04 L04::dialogue vocab unit::Family_Language
坐船	坐船	zuòchuán	v.o.	by ship; take a boat	book::L04 L04::dialogue vocab unit::Family_Language
突然	突然	tūrán	adv.	suddenly; abruptly	book::L04 L04::dialogue vocab unit::Family_Language
跳	跳	tiào	n./v.	jump; hop	book::L04 L04::dialogue vocab unit::Family_Language
帮	幫	bāng	v.	help; assist	book::L04 L04::dialogue vocab unit::Family_Language
找	找	zhǎo	v.	look for; seek	book::L04 L04::dialogue vocab unit::Family_Language
读	讀	dú	v.	read	book::L04 L04::dialogue vocab unit::Family_Language
一般	一般	yībān	adj./adv.	ordinary; generally; in general	book::L04 L04::dialogue vocab unit::Family_Language
电视	電視	diànshì	n.	television	book::L04 L04::dialogue vocab unit::Family_Language
节目	節目	jiémù	n.	program; show	book::L04 L04::dialogue vocab unit::Family_Language
日常	日常	rìcháng	adj.	daily	book::L04 L04::dialogue vocab unit::Family_Language
同意	同意	tóngyì	v.	agree; approve	book::L04 L04::dialogue vocab unit::Family_Language
重要	重要	zhòngyào	adj.	important; significant	book::L04 L04::dialogue vocab unit::Family_Language
无聊	無聊	wúliáo	adj.	bored; boring; silly	book::L04 L04::dialogue vocab unit::Family_Language
官话方言	官話方言	Guānhuà fāngyán	pn.	Guan (Mandarin) dialect (spoken primarily in northern and southwestern China)	book::L04 L04::dialogue vocab unit::Family_Language
吴方言	吳方言	Wú fāngyán	pn.	Wu dialects (spoken primarily in Shanghai and surrounding areas)	book::L04 L04::dialogue vocab unit::Family_Language
粤方言	粵方言	Yuè fāngyán	pn.	Yue dialect (spoken primarily in Guangdong, Guangxi, Hong Kong, and Macau)	book::L04 L04::dialogue vocab unit::Family_Language
客家方言	客家方言	Kèjiā fāngyán	pn.	Hakka dialect (spoken primarily in southeastern China)	book::L04 L04::dialogue vocab unit::Family_Language
广东	廣東	Guǎngdōng	pn.	Guangdong Province in south China	book::L04 L04::dialogue vocab unit::Family_Language
四川	四川	Sìchuān	pn.	Sichuan Province in southwest China	book::L04 L04::dialogue vocab unit::Family_Language
拼音	拼音	pīnyīn	n.	official Chinese alphabetic system	book::L04 L04::essay vocab unit::Family_Language
发明	發明	fāmíng	n./v.	invention; invent	book::L04 L04::essay vocab unit::Family_Language
有名	有名	yǒumíng	adj.	famous	book::L04 L04::essay vocab unit::Family_Language
语言学家	語言學家	yǔyánxuéjiā	n.	linguist	book::L04 L04::essay vocab unit::Family_Language
考上	考上	kǎoshàng	v.	pass entrance examination	book::L04 L04::essay vocab unit::Family_Language
教会	教會	jiàohuì	n.	church	book::L04 L04::essay vocab unit::Family_Language
专业	專業	zhuānyè	n.	major	book::L04 L04::essay vocab unit::Family_Language
经济学	經濟學	jīngjìxué	n.	economics	book::L04 L04::essay vocab unit::Family_Language
兴趣	興趣	xìngqù	n.	interest	book::L04 L04::essay vocab unit::Family_Language
毕业	畢業	bìyè	v.	graduate	book::L04 L04::essay vocab unit::Family_Language
银行家	銀行家	yínhángjiā	n.	banker	book::L04 L04::essay vocab unit::Family_Language
却	卻	què	adv./conj.	yet; but; however	book::L04 L04::essay vocab unit::Family_Language
文字学	文字學	wénzìxué	n.	philology	book::L04 L04::essay vocab unit::Family_Language
参加	參加	cānjiā	v.	join; attend; take part in	book::L04 L04::essay vocab unit::Family_Language
文字改革	文字改革	wénzì gǎigé	n.	reform of Chinese characters	book::L04 L04::essay vocab unit::Family_Language
同事	同事	tóngshì	n.	colleague	book::L04 L04::essay vocab unit::Family_Language
